nombre,tipo,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,correcta,orden,puntos,seccion
pregunta_12,single,"¿En qué continente se encuentra Egipto? Identifica la ubicación del país del Nilo.",Asia no tiene Egipto,África SÍ tiene Egipto,Europa no tiene Egipto,Oceanía no tiene Egipto,América no tiene Egipto,B,12,1.0,Geografía
pregunta_13,single,"¿Cuál es la unidad de medida de la fuerza en el Sistema Internacional? Identifica la unidad correcta.",Metro mide longitud,Celsius mide temperatura,Newton mide fuerza,Pascal mide presión,Joule mide energía,C,13,1.0,Física
pregunta_14,single,"¿Qué planeta es conocido como el planeta rojo? Identifica al vecino rojizo de la Tierra.",Júpiter es gigante amarillo,Venus es el planeta caliente,Marte es el planeta rojo,Saturno tiene anillos,Mercurio es el más pequeño,C,14,1.0,Astronomía
pregunta_15,single,"¿Cuántos elementos químicos hay en la tabla periódica actual? Cuenta todos los elementos confirmados.",100 elementos no es correcto,112 elementos no es correcto,118 elementos es correcto,125 elementos no es correcto,130 elementos no es correcto,C,15,1.0,Química
pregunta_16,single,"¿Cuál es el metal más ligero entre los mostrados? Identifica el elemento con menor densidad.",Hierro es denso,Aluminio es ligero,Litio es el más ligero,Titanio es resistente,Cobre es denso,C,16,1.0,Química
pregunta_17,single,"¿Qué ciencia estudia los seres vivos y sus procesos vitales? Identifica la disciplina biológica.",Física estudia materia,Química estudia átomos,Biología estudia seres vivos,Geología estudia rocas,Astronomía estudia estrellas,C,17,1.0,Ciencia
pregunta_18,single,"¿En qué año cayó el muro de Berlín? Identifica el año de la reunificación alemana.",1987 no cayó el muro,1988 no cayó el muro,1989 SÍ cayó el muro,1990 ya había caído,1991 ya había caído,C,18,1.0,Historia
pregunta_19,single,"¿Cuál es el órgano más grande del cuerpo humano? Identifica la estructura con mayor superficie.",Corazón bombea sangre,Hígado filtra toxinas,Cerebro controla todo,Piel es el órgano más grande,Pulmones respiran,D,19,1.0,Biología
pregunta_20,single,"¿Cuántos planetas tiene el sistema solar según la definición actual? Cuenta los planetas reconocidos.",7 planetas no es correcto,8 planetas es correcto,9 planetas era antes,10 planetas era antes,6 planetas no es correcto,B,20,1.0,Astronomía
pregunta_21,single,"¿Cuál es el hueso más largo del cuerpo humano? Identifica el hueso del muslo.",Tibia es de la pantorrilla,Fémur es el hueso del muslo,Húmero es del brazo,Peroné es de la pantorrilla,Fíbula es de la pantorrilla,B,21,1.0,Biología
pregunta_22,single,"¿Qué gas necesitamos respirar para vivir? Identifica el gas esencial para la respiración.",Helio no sirve para respirar,Oxígeno es esencial para vivir,Nitrógeno no respiramos,Dióxido de carbono es desecho,Hidrógeno no respiramos,B,22,1.0,Biología
pregunta_23,single,"¿En qué año se descubrió América según la historiografía tradicional? Identifica el año del arribo.",1490 no fue el descubrimiento,1492 SÍ fue el descubrimiento,1494 no fue el descubrimiento,1498 no fue el descubrimiento,1500 no fue el descubrimiento,B,23,1.0,Historia
pregunta_24,single,"¿Cuál es la capital de Japón? Identifica la ciudad más importante del país del sol naciente.",Pekín es capital de China,Seúl es capital de Corea,Osaka no es capital,Kioto no es capital,Tokio es la capital de Japón,E,24,1.0,Geografía
pregunta_25,single,"¿Cuántos litros tiene un metro cúbico? Convierte la unidad de volumen.",10 litros no es correcto,100 litros no es correcto,1000 litros es correcto,10000 litros no es correcto,100000 litros no es correcto,C,25,1.0,Unidades
pregunta_26,single,"¿Qué animal es el más rápido del mundo en tierra? Identifica al depredador veloz.",León corre a 80 km/h,Guepardo corre a 120 km/h,Halcón vuela rápido,Avestruz corre a 70 km/h,Guepardo es el más rápido,E,26,1.0,Zoología
pregunta_27,single,"¿Cuál es la moneda oficial de México? Identifica la divisa del país azteca.",Peso colombiano no es de México,Peso chileno no es de México,Peso mexicano SÍ es de México,Real ya no se usa,Bolívar es de Venezuela,C,27,1.0,Economía
pregunta_28,single,"¿Cuántos corazones tiene un pulpo? Identifica la cantidad de corazones de este molusco.",1 corazón no es correcto,2 corazones no es correcto,3 corazones es correcto,4 corazones no es correcto,5 corazones no es correcto,C,28,1.0,Zoología
pregunta_29,single,"¿Qué elemento químico tiene el símbolo Au? Identifica el elemento representado por Au.",Plata tiene símbolo Ag,Oro tiene símbolo Au,Aluminio tiene símbolo Al,Argón tiene símbolo Ar,Platino tiene símbolo Pt,B,29,1.0,Química
pregunta_30,single,"¿En qué país se inventó la pizza tal como la conocemos? Identifica la cuna de la pizza.",España no inventó la pizza,Francia no inventó la pizza,Italia SÍ inventó la pizza,Grecia tiene flatbread,Portugal no inventó la pizza,C,30,1.0,Gastronomía
pregunta_31,single,"¿Cuál es la temperatura de ebullición del agua a nivel del mar? Identifica el punto de ebullición.",90 grados no hierve,95 grados no hierve,100 grados SÍ hierve,105 grados ya hirvió,110 grados ya hirvió,C,31,1.0,Física
pregunta_32,single,"¿Qué planeta del sistema solar tiene anillos visibles desde la Tierra? Identifica al planeta anillado.",Marte no tiene anillos,Venus no tiene anillos,Júpiter tiene anillos tenues,Saturno tiene anillos espectaculares,Neptuno tiene anillos débiles,D,32,1.0,Astronomía
pregunta_33,single,"¿Cuántos sentidos tiene el ser humano según la clasificación clásica? Cuenta los sentidos tradicionales.",3 sentidos es muy poco,4 sentidos es muy poco,5 sentidos es la clasificación clásica,6 sentidos es moderno,7 sentidos es moderno,C,33,1.0,Biología
pregunta_34,single,"¿Cuál es el país más grande del mundo por superficie territorial? Identifica al gigante territorial.",China es grande pero menor,Estados Unidos es grande,Canadá es grande pero menor,Rusia es el más grande del mundo,Brasil es grande pero menor,D,34,1.0,Geografía
pregunta_35,single,"¿Qué tipo de sangre es donante universal? Identifica el tipo sanguíneo compatible con todos.",A no es universal,B no es universal,AB es receptor universal,O es donante universal,Todos son universales,C,35,1.0,Medicina
pregunta_36,single,"¿Cuál es la velocidad del sonido en el aire a 20 grados centígrados? Identifica la velocidad aproximada.",340 m/s es la velocidad del sonido,760 m/s es muy rápido,1500 m/s es en agua,3000 m/s es muy rápido,150 m/s es muy lento,A,36,1.0,Física
pregunta_37,single,"¿En qué país se encuentra la Torre Eiffel? Identifica el país de la icónica estructura metálica.",Italia no tiene la Torre Eiffel,España no tiene la Torre Eiffel,Francia SÍ tiene la Torre Eiffel,Alemania no tiene la Torre Eiffel,Inglaterra no tiene la Torre Eiffel,C,37,1.0,Geografía
pregunta_38,single,"¿Qué planeta es el más cercano al sol? Identifica al planeta interior del sistema solar.",Venus es el segundo más cercano,Mercurio es el más cercano al sol,Tierra es el tercero,Marte es el cuarto,Júpiter es el quinto,B,38,1.0,Astronomía
pregunta_39,single,"¿Cuántos huesos tiene un bebé al nacer? Considera que los bebés tienen más huesos que los adultos.",206 huesos es de adulto,300 huesos es de bebé,270 huesos es aproximado,150 huesos es muy poco,250 huesos es muy poco,B,39,1.0,Biología
pregunta_40,single,"¿Qué animal tiene la capacidad de regenerar sus extremidades? Identifica al reptil regenerador.",Perro no regenera,Gato no regenera,Lagarto SÍ regenera la cola,Tortuga no regenera,Pájaro no regenera,C,40,1.0,Zoología
pregunta_41,single,"¿Cuál es la capital de Argentina? Identifica la ciudad más importante del país del Cono Sur.",Bogotá es de Colombia,Lima es de Perú,Buenos Aires es de Argentina,Santiago es de Chile,Quito es de Ecuador,C,41,1.0,Geografía
pregunta_42,single,"¿Cuántos millones de habitantes tiene aproximadamente la Tierra? Estima la población mundial actual.",5000 millones es muy poco,6000 millones es poco,7000 millones es la cifra actual,8000 millones es mucho,9000 millones es mucho,C,42,1.0,Demografía
pregunta_43,single,"¿Qué gas es necesario para que ocurra la combustión? Identifica el comburente indispensable.",Nitrógeno no助燃,Helio no助燃,Oxígeno SÍ助燃,Dióxido de carbono apaga fuego,Hidrógeno es combustible,C,43,1.0,Química
pregunta_44,single,"¿Cuál es el deporte más practicado del mundo? Identifica al deporte con más seguidores globales.",Báisquetbol es popular,Beisbol es popular en USA,Fútbol es el más practicado del mundo,Tenis es individual,Golf es nicho,C,44,1.0,Deportes
pregunta_45,single,"¿En qué año se creó Internet con el primer nodo ARPANET? Identifica el año del primer nodo.",1969 SÍ se creó ARPANET,1975 fue después,1983 fue después,1991 fue después,1995 fue después,A,45,1.0,Tecnología
pregunta_46,single,"¿Qué mineral es el más duro de la naturaleza? Identifica al mineral con mayor dureza de Mohs.",Cuarzo tiene dureza 7,Topacio tiene dureza 8,Diamante tiene dureza 10,Rubi tiene dureza 9,Esmeralda tiene dureza 7.5,C,46,1.0,Geología
pregunta_47,single,"¿Cuál es el océano más grande del mundo? Identifica al mayor cuerpo de agua del planeta.",Atlántico es el segundo,Índico es el tercero,Ártico es el más pequeño,Pacífico es el más grande del mundo,Antártico es el cuarto,D,47,1.0,Geografía
pregunta_48,single,"¿Qué vitamina produce el cuerpo humano al exponerse al sol? Identifica la vitamina solar.",Vitamina A es de zanahorias,Vitamina B es de cereales,Vitamina C es de cítricos,Vitamina D SÍ se produce con el sol,Vitamina E es de almendras,D,48,1.0,Nutrición
pregunta_49,single,"¿Cuántos dientes tiene un adulto humano promedio? Cuenta la dentadura completa permanente.",28 dientes sin muelas,30 dientes con algunas muelas,32 dientes es la dentadura completa,34 dientes es mucho,36 dientes es mucho,C,49,1.0,Anatomía
pregunta_50,single,"¿Qué país europeo tiene forma de bota sobre el mapa? Identifica al país con forma característica.",Grecia no tiene forma de bota,Italia SÍ tiene forma de bota,España no tiene forma de bota,Portugal no tiene forma de bota,Croacia no tiene forma de bota,B,50,1.0,Geografía
